track,geometry,system,target,split,signal,deployable,input_dim,quota,k,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,p_le_random,tie_frac,responsive_frac,boot_dropped,n_units,n_frames,width_mult,gflops,trt_vs_torch_spearman
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,0.1,96,-0.14166540276289397,-0.5957217196030352,0.15814056751340577,-0.22076850950387505,-0.6158976219822185,0.0764887535714908,0.9465725806451613,0.010416666666666666,0.041666666666666664,8,24,955,1.2,0.151331328,0.9996751084384357
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,0.2,191,-0.04785162777459154,-0.5427540430358456,0.2454666088956905,-0.20058191466726594,-0.5840759693922216,0.1046862111285319,0.9163306451612904,0.005235602094240838,0.02617801047120419,8,24,955,1.2,0.151331328,0.9996751084384357
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,0.3,286,0.0205507069681005,-0.46499585786727343,0.30108919257490746,-0.2055894211394984,-0.5389506772451031,0.09191579567695284,0.9284274193548387,0.0034965034965034965,0.02097902097902098,8,24,955,1.2,0.151331328,0.9996751084384357
nuScenes,oracle,brake,J,test,R2_cnn_clf,True,49152,0.5,478,0.11974152389035811,-0.5053210735528083,0.3990186246427627,-0.2611677112208369,-0.5742709417290732,-0.006415735280060442,0.9798387096774194,0.0020920502092050207,0.02301255230125523,8,24,955,1.2,0.151331328,0.9996751084384357
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,0.1,75,-0.010870345053799566,-0.3102182055541661,0.07481206982315125,-0.04016893433801182,-0.28378922903036663,0.07682480917882151,0.659,0.013333333333333334,0.4266666666666667,0,24,752,1.2,0.151331328,0.9997089015950814
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,0.2,150,-0.16253154600841163,-0.4236963453320079,0.08126062657914743,-0.13026779084797774,-0.3701242820502379,0.06589896298207233,0.88,0.006666666666666667,0.4666666666666667,0,24,752,1.2,0.151331328,0.9997089015950814
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,0.3,226,-0.17730039140343498,-0.530828675137503,0.09640554593202784,-0.17106436683941478,-0.41812271115343735,0.057989759658690014,0.933,0.004424778761061947,0.4557522123893805,0,24,752,1.2,0.151331328,0.9997089015950814
nuScenes,oracle,plan_ade,JC_ade,test,R2_cnn_clf,True,49152,0.5,376,-0.17847475405546934,-0.6315921582894494,0.22687272202936737,-0.12915770926794362,-0.41752878485159584,0.1411029593993361,0.809,0.0026595744680851063,0.43351063829787234,0,24,752,1.2,0.151331328,0.9997089015950814
nuScenes,oracle,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,0.1,75,-0.007957483424037065,-0.0961120881101321,0.08783610394636249,-0.03716727805686472,-0.12603555831110125,0.0677944883073632,0.805,0.013333333333333334,0.14666666666666667,0,24,752,1.2,0.151331328,0.9996952440076119
nuScenes,oracle,plan_fde,JC_fde,test,R2_cnn_clf,True,49152,0.2,150,-0.03384747209909695,-0.1306566123299612,0.06703217454145965,-0.08078576077756519,-0.18690024563004765,0.044654113349297725,0.906,0.006666666666666667,0.15333333333333332,0,24,752,1.2,0.151331328,0.9996952440076119
